camels_2020,camels_2021,camels_2024,cattle_2020,cattle_2021,cattle_2024,cattle_medium_pct,cattle_monthly_latest,cattle_monthly_yoy_pct,cattle_small_pct,cattle_total_farms,goats_2021,goats_2024,horses_2020,horses_2024,meat_live_2020,meat_live_2021,meat_live_2024,milk_2021,milk_2024,pigs_2020,pigs_2021,pigs_2024,poultry_2020,poultry_2021,poultry_2024,region,sheep_2020,sheep_2024,sheep_medium_pct,sheep_monthly_latest,sheep_monthly_yoy_pct,sheep_small_pct,sheep_total_farms
,,0.04,,,156.19,35.8,794.79,5.62,9.2,3404,,58.39,,107.22,,,0.02,,199.01,,,4.13,,,350.1,abai,,359.49,32.1,1244.52,5.74,3.3,2151
0.01,,0.12,,,97.47,44.8,426.38,4.15,30.1,1562,,27.48,,113.02,,0.0,0.01,,146.31,,,34.81,,,744.32,akmolinsk,,382.9,43.3,605.96,0.77,8.5,971
,,8.01,,,130.11,36.0,601.69,1.67,10.5,3327,,89.93,,70.16,,4.91,1.41,,127.48,,,2.79,,,404.56,aktobe,,384.88,27.9,1182.87,0.17,4.8,2180
,,,,0.0,0.87,,1.84,1.32,,,0.01,0.67,0.03,1.13,,0.01,0.0,0.0,0.47,,,0.11,,0.03,7.59,almaty_city,,0.66,,1.37,7.03,,
,,0.4,,,145.18,43.0,599.34,1.29,23.0,3962,,74.27,,91.67,,,0.03,,186.11,,,2.13,,,341.49,almaty_obl,,626.37,26.5,2554.34,2.58,3.9,3155
,,,0.03,,0.12,,0.17,-0.58,,,,0.14,0.01,0.36,0.0,0.0,0.0,,0.15,,,0.01,0.48,,12.36,astana,0.49,0.64,,2.02,-3.03,,
,,19.46,,,61.16,41.2,238.45,1.22,15.0,1678,,69.89,,55.43,,0.11,3.58,,22.87,,0.21,0.03,,,29.16,atyrau,,188.24,23.2,571.02,2.85,6.0,1064
,,0.05,,,95.04,39.0,389.16,5.47,21.8,2082,,60.35,,92.4,,0.02,0.0,35.51,125.73,,,15.3,,,310.74,east_kz,,239.71,43.2,600.5,9.44,6.3,1357
,,0.76,,,91.1,42.8,458.8,2.74,13.8,3084,,58.39,,110.95,,0.09,0.03,,115.63,,,6.7,,,249.45,karaganda,,185.76,33.7,735.37,4.71,6.3,1913
,,0.05,,,90.28,35.9,397.13,0.87,20.8,1281,,24.88,,65.3,,0.0,0.02,,123.12,,,43.43,,,722.53,kostanay,,225.06,31.5,449.78,2.39,6.6,875
,,33.5,,,126.92,42.0,372.1,0.44,32.8,3072,,105.97,,129.63,,0.02,1.64,,41.68,,,0.41,,,108.6,kyzylorda,,173.85,31.5,612.71,-0.57,8.8,994
,,45.01,,,7.99,,20.83,-2.22,,,,32.11,,54.36,,0.01,2.25,0.15,83.78,,0.04,,,,15.71,mangystau,,97.3,,,,,
0.0,0.01,0.01,,,62.88,35.9,325.95,10.02,37.2,729,,7.45,,75.61,,0.0,0.03,,323.12,,,37.28,,,734.15,north_kz,,286.22,42.3,396.29,-0.68,4.2,522
,,0.01,,,97.06,33.9,519.79,6.18,7.7,2023,,30.32,,95.07,,0.0,0.0,,143.31,,,8.1,,,233.01,pavlodar,,287.37,34.0,704.22,7.76,3.4,1512
,0.02,,,,32.29,27.1,90.29,-0.09,27.1,85,0.27,5.87,,19.29,,,0.08,,40.22,,,1.52,,,201.3,shymkent,,104.95,19.0,96.21,2.43,16.7,42
,,10.29,,,435.74,44.8,1145.42,1.75,19.4,2774,,135.0,,332.99,,0.09,1.14,33.82,15.11,,2.0,0.17,,,1199.97,turkestan,,1793.24,9.2,4523.34,1.64,1.2,2555
,,0.05,,,29.07,47.5,146.39,1.68,9.9,1270,,20.83,,46.91,,,0.04,,30.3,,,0.28,,,28.84,ulytau,,43.96,40.4,230.58,3.55,5.5,747
,,0.51,,,118.65,28.0,1037.85,1.49,7.9,4577,,111.28,,67.4,,,0.01,,149.99,,,3.28,,,261.8,west_kz,,469.28,26.9,1464.85,4.16,2.8,2945
,,2.89,,,107.33,37.3,448.98,0.74,33.4,2607,0.0,67.6,,86.33,,0.52,0.32,,179.66,3.93,,3.27,,,784.33,zhambyl,,1056.21,12.7,3306.83,1.81,1.7,2808
,,0.27,,,108.36,33.9,497.12,0.0,22.8,2746,,115.7,,78.72,,,0.04,,160.81,,,3.23,,,406.56,zhetysu,,578.36,25.3,1579.88,-0.02,4.0,2040
