region,budget_tenge,active_applicants,registered_enterprises
Абай облысы,5335000000,501,2675
Алматы облысы,16259173955,505,2654
Атырау облысы,1490000000,77,1118
Ақмола облысы,14000000000,159,1202
Ақтөбе облысы,4200000000,320,3064
Батыс Қазақстан облысы,7578887000,658,4242
Жамбыл облысы,6790622000,421,4156
Жетісу облысы,8566074000,182,2462
Маңғыстау облысы,1323000000,1,1498
Павлодар облысы,4595996000,314,2127
Солтүстік Қазақстан облысы,8378699000,251,754
Түркістан облысы,6650200000,132,4633
Шымкент қ.,1071773000,38,199
Шығыс Қазақстан облысы,8668266400,221,1583
Қарағанды облысы,5477444000,120,2416
Қостанай облысы,10775157000,366,1499
Қызылорда облысы,4236421000,173,1811
Ұлытау облысы,2169772000,42,1042
