StateId,StateName,SubId,SubName,Applicant,Sended,Positived,Executed
1604,Ақмола облысы,12,Заявка на получение субсидий на ведение селекционной и племенной работы с товарным маточным поголовьем крупного рогатого скота,124,166,143,137
1604,Ақмола облысы,13,Заявка на получение субсидий на ведение селекционной и племенной работы с племенным маточным поголовьем крупного рогатого скота,44,75,64,61
1604,Ақмола облысы,7,Заявка на получение субсидий за приобретение племенных быков-производителей мясных и мясо-молочных пород,89,190,122,114
1604,Ақмола облысы,4,Заявка на получение субсидий за приобретение отечественного племенного маточного поголовья крупного рогатого скота (мясных и мясо-молочных пород),31,66,42,40
1604,Ақмола облысы,1,"Заявка на получение субсидий за приобретение отечественного племенного маточного поголовья крупного рогатого скота (молочных, молочно-мясных)",3,10,8,4
1604,Ақмола облысы,2,"Заявка на получение субсидий за приобретение импортированного племенного маточного поголовья крупного рогатого скота из стран Содружества Независимых Государств, Украины (молочных, молочно-мясных)",1,9,6,5
1604,Ақмола облысы,3,"Заявка на получение субсидий за приобретение импортированного племенного маточного поголовья крупного рогатого скота из Австралии, стран Северной и Южной Америки, стран Европы (молочных, молочно-мясных)",4,35,24,24
1604,Ақмола облысы,14,Заявка на получение субсидий за приобретеное однополое семя племенного быка молочного/ молочно-мясного и мясного/мясо-молочного направлений,2,15,12,7
1604,Ақмола облысы,15,Заявка на получение субсидий за приобретеное двуполое семя племенного быка молочного/ молочно-мясного и мясного/мясо-молочного направлений,8,29,22,21
1604,Ақмола облысы,22,"Заявка на получение субсидий на удешевление стоимости крупного рогатого скота (в том числе племенные мужские особи молочных или молочно-мясных пород), реализованных или перемещенных на откорм в откормочные площадки или мясоперерабатывающие предприятия с убойной мощностью не менее 50 голов крупного рогатого скота в сутки",70,276,210,202
1604,Ақмола облысы,17,Заявка на получение субсидий на удешевление стоимости производства молока (коровье) с фуражным поголовьем коров от 600 голов,7,314,250,233
1604,Ақмола облысы,18,Заявка на получение субсидий на удешевление стоимости производства молока (коровье) с фуражным поголовьем коров от 400 голов,2,43,36,35
1604,Ақмола облысы,19,Заявка на получение субсидий на удешевление стоимости производства молока (коровье) с фуражным поголовьем коров от 50 голов,20,573,435,405
1604,Ақмола облысы,20,Заявка на получение субсидий на удешевление стоимости производства молока (коровье) Сельскохозяйственный кооператив,8,136,88,73
1604,Ақмола облысы,115,Заявка на удешевление затрат при выращивании племенного молодняка крупного рогатого скота мясного направления,7,42,34,33
1604,Ақмола облысы,37,Заявка на получение субсидий на ведение селекционной и племенной работы с товарным маточным поголовьем овец,3,3,3,3
1604,Ақмола облысы,36,Заявка на получение субсидий на ведение селекционной и племенной работы с племенным маточным поголовьем овец,3,3,3,3
1604,Ақмола облысы,31,Заявка на получение субсидий за приобретение отечественных племенных овец,6,15,7,7
